state,x,y
Andaman And Nicobar Islands,182.0,-202.0
Andhra Pradesh,-63.0,-137.0
Arunachal Pradesh,194.0,128.0
Assam,155.0,79.0
Bihar,38.0,48.0
Chandigarh,-97.0,154.0
Chhattisgarh,-9.0,-25.0
Dadra And Nagar Haveli,-165.0,-48.0
Delhi,-86.0,112.0
Goa,-152.0,-138.0
Gujarat,-194.0,1.0
Haryana,-113.0,129.0
Himachal Pradesh,-84.0,173.0
Jammu And Kashmir,-120.0,198.0
Karnataka,-136.0,-165.0
Kerala,-107.0,-230.0
Ladakh,-80.0,227.0
Lakshadweep,-203.0,-206.0
Madhya Pradesh,-121.0,-1.0
Maharashtra,-147.0,-72.0
Manipur,197.0,48.0
Meghalaya,132.0,57.0
Mizoram,182.0,-2.0
Nagaland,200.0,77.0
Odisha,23.0,-54.0
Puducherry,-41.0,-205.0
Punjab,-119.0,161.0
Rajasthan,-197.0,78.0
Sikkim,99.0,91.0
Tamil Nadu,-76.0,-211.0
Telangana,-75.0,-94.0
Tripura,154.0,28.0
Uttarakhand,-47.0,144.0
Uttar Pradesh,-66.0,87.0
West Bengal,94.0,-0.0
